species,Colour
Agaricomycetes,#CCCCCC
Alternaria,#E31A1C
Amyloporia,#FDC086
Archaeorhizomyces sp,#CBD5E8
Armillaria,#B15928
Ascomycota sp,#FFFFCC
Aspergillus,#7570B3
Aureobasidium,#A6761D
Bagliettoa,#CFFFAE
Bjerkandera,#7FC97F
Blumeria sp,#377EB8
Botryobasidium,#B15928
Bradymyces,#D95F02
Candida,#FC8D62
Chaetothyriales sp,#4DAF4A
Cinereomyces,#999999
Cladosporium,grey
Clavispora,#BDE8E9
Curvularia,#66A61E
Cylindrobasidium,#F1E2CC
Daedaleopsis,#CAB2D6
Dermateaceae sp,#FFED6F
Dioszegia,#FCCDE5
Dioszegia,#FCCDE5
Dothideomycetes sp,#E31A1C
Duportella,#A65628
Endophoma,#666666
Exophiala sp,#FFFF99
Filobasidium,#E7298A
Filobasidium sp,#B9206C
Fungi,#000000
Fungi sp,#000000
Herpotrichiellaceae sp,#78A8A3
Itersonilia,#F1E2CC
Lenzites,#FDCDAC
Leptobacillium,#FF7F00
Malassezia,#A6D854
Melampsora,#A65628
Melampsora sp,#CB5612
Melampsoraceae sp,#A9785B
Mycosphaerella,#29E9D6
Nakaseomyces,#33A02C
Penicillium,#D95F02
Peniophoraceae,#FDBF6F
Pichia,#E5D8BD
Pseudeurotiaceae,#F781BF
Pyrenula,#B3CDE3
Ramularia,#CAB2D6
Rhodotorula,#11680B
Saccharomyces,#666666
Strobilurus,#FFFF99
Timdalia,#823C9F
Trametes,#A6761D
Trichomeriaceae sp,#E78AC3
Trimmatothelopsis,#FFFF33
Umbilicaria,#3636FF
Verrucaria,#A6761D
Verrucariaceae sp,#E9E9E9
